Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
65b24dfa-d99d-74ae-bd55-d363e509cb7c,1994-04-09,,999-54-6959,S99996424,X45500897X,Mr.,Mac103,Runte676,,,S,white,nonhispanic,M,Plymouth  Massachusetts  US,960 Wiegand Burg Apt 94,Barnstable,Massachusetts,Barnstable County,02647,41.67379781301476,-70.27238125824867,739809.2499999998,1061.9099999999999
6d95ba48-a8be-b4c8-cdf6-f3d89142217b,1986-08-13,,999-60-2854,S99933959,X72103595X,Mr.,Jefferey580,Murazik203,,,S,white,nonhispanic,M,Boston  Massachusetts  US,600 Grimes Station,Brockton,Massachusetts,Plymouth County,02301,42.083139601051066,-71.0147940942845,874894.8324999999,14231.587500000001
46d05bdc-d001-63cc-693c-d7f29d531cb1,2014-09-13,,999-49-1943,,,,Ronnie7,Smith67,,,,white,nonhispanic,M,Sharon  Massachusetts  US,665 Roob Gardens,Boston,Massachusetts,Suffolk County,02124,42.31722264066916,-71.03528824535417,172958.2375,1979.8425
527c52ef-be00-25b5-823b-b87005bf0d5f,1966-12-04,,999-40-6727,S99951719,X1779287X,Mrs.,Valarie790,Hackett68,,Rice937,M,asian,nonhispanic,F,Danvers  Massachusetts  US,695 Cassin Path,Somerville,Massachusetts,Middlesex County,02140,42.36032355437533,-71.1160427169274,368924.24700000003,894656.7430000001
2599cde2-f690-8596-3cb5-905d701f6987,1989-08-21,,999-45-7333,S99931616,X84630753X,Mr.,Filiberto722,West559,,,M,white,nonhispanic,M,Littleton  Massachusetts  US,226 Skiles Junction,Ludlow,Massachusetts,Hampden County,,42.170529308686504,-72.43959492135855,135856.44050000006,524142.3694999999
3583d823-d754-41b3-462f-3fb199c7b183,1960-01-28,,999-60-3795,S99972612,X52173182X,Mr.,Lynn917,Kuvalis369,,,S,white,nonhispanic,M,Everett  Massachusetts  US,162 Leuschke Route Apt 82,Wareham,Massachusetts,Plymouth County,,41.72351829475476,-70.70810540941044,1697379.8425000003,67212.6675
e9922ddd-8e85-9837-9ac8-885c34075450,1951-07-05,,999-91-6093,S99941771,X14585646X,Mrs.,Charlena802,Ernser583,,Dickens475,M,white,nonhispanic,F,Somerville  Massachusetts  US,1042 Roberts Wynd,Waltham,Massachusetts,Middlesex County,02451,42.395781284907066,-71.17787024526461,2181451.3325,685662.5575
5754cd1b-a29d-86d0-ecc7-358c06f0bb08,1988-07-13,,999-30-7711,S99972151,X47570332X,Mrs.,Sandie760,Sanford861,,Wyman904,M,white,nonhispanic,F,Rochester  Massachusetts  US,454 Kuphal View,Needham,Massachusetts,Norfolk County,,42.32366256909322,-71.22563576800731,1271127.372,275801.008
7a8a97f0-61b2-bd81-e556-ddea3d2f55f0,1976-08-25,,999-46-1942,S99997709,X43705682X,Mr.,Huey641,Fritsch593,,,M,white,nonhispanic,M,Fall River  Massachusetts  US,629 Haag Park Apt 43,Peabody,Massachusetts,Essex County,01940,42.511934319535165,-71.0033011601844,1933860.3150000006,10709.085000000001
f3d4b3f5-5ca8-d376-c3ae-f61c93b1d130,1966-08-17,,999-92-5582,S99929701,X85339645X,Mr.,Bruno518,Lehner980,,,M,white,nonhispanic,M,Boston  Massachusetts  US,699 O'Kon Rue,Falmouth,Massachusetts,Barnstable County,,41.5550818728401,-70.64685865076699,1411729.9575000007,1298.4824999999998
